code	color	name	mainType	tissue	children	parent	level
TISSUE	null	Tissue	null	null	{}	null	0
PCLPD	LimeGreen	Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
PMFOFS	LightSalmon	Primary Myelofibrosis	Myeloproliferative Neoplasms	Myeloid	{}	PMF	5
PCNSM	LightSkyBlue	Primary CNS Melanoma	Melanoma	CNS/Brain	{}	PCNSMT	3
THME	Teal	Medullary Thyroid Cancer	Thyroid Cancer	Thyroid	{}	THYROID	2
IDC	HotPink	Breast Invasive Ductal Carcinoma	Breast Cancer	Breast	{}	BRCA	3
TSTAD	LightSkyBlue	Tubular Stomach Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	STAD	4
NSCLCPD	Gainsboro	Poorly Differentiated Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
UNEC	PeachPuff	Uterine Neuroendocrine Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
CHL	LimeGreen	Classical Hodgkin Lymphoma	Hodgkin Lymphoma	Lymphoid	{}	HL	4
OSMAD	LightBlue	Ovarian Seromucinous Adenoma	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
BLCA	Yellow	Bladder Urothelial Carcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
CSNOS	HotPink	Breast Invasive Carcinosarcoma	Breast Cancer	Breast	{}	BRCA	3
PPTLD	LimeGreen	Polymorphic PTLD	Posttransplant Lymphoproliferative Disorders	Lymphoid	{}	PTLD	4
USCC	Yellow	Urethral Squamous Cell Carcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	UCA	3
CELI	Teal	Cervical Leiomyosarcoma	Cervical Cancer	Cervix	{}	CERVIX	2
EMCHS	White	Extraskeletal Myxoid Chondrosarcoma	Bone Cancer	Bone	{}	CHS	3
HHV8DLBCL	LimeGreen	HHV8 Positive DLBCL	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
ONBL	Gray	Olfactory Neuroblastoma	Embryonal Tumor	CNS/Brain	{}	EMBT	3
HGONEC	LightBlue	High-Grade Neuroendocrine Carcinoma of the Ovary	Ovarian Cancer	Ovary/Fallopian Tube	{}	OOVC	3
SPZM	Black	Spitzoid Melanoma	Melanoma	Skin	{}	MEL	3
IMTL	Gainsboro	Inflammatory Myofibroblastic Lung Tumor	Non-Small Cell Lung Cancer	Lung	{}	LUNG	2
BLLIL3IGH	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with t(5;14)(q31.1;q32.3) IL3-IGH	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
PBS	HotPink	Breast Sarcoma	Breast Sarcoma	Breast	{}	BREAST	2
UMC	PeachPuff	Uterine Mucinous Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
VMT	Purple	Mature Teratoma	Germ Cell Tumor	Vulva/Vagina	{}	VGCT	3
SMMCL	LightSalmon	Mast Cell Leukemia	Mastocytosis	Myeloid	{}	SM	5
MPC	LightYellow	Myopericytoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
ASTB	Gray	Astroblastoma	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
ICEMU	Teal	Intestinal Type Mucinous Carcinoma	Cervical Cancer	Cervix	{}	CEMU	4
DDCHS	White	Dedifferentiated Chondrosarcoma	Bone Cancer	Bone	{}	CHS	3
SACA	DarkRed	Salivary Carcinoma	Salivary Gland Cancer	Head and Neck	{}	HEAD_NECK	2
PADA	DarkRed	Pleomorphic Adenoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
PLRMS	LightYellow	Pleomorphic Rhabdomyosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	RMS	3
PANCREAS	Purple	Pancreas	Pancreatic Cancer	Pancreas	{}	TISSUE	1
HNMUCM	DarkRed	Head and Neck Mucosal Melanoma	Melanoma	Head and Neck	{}	HEAD_NECK	2
AML	LightSalmon	Acute Myeloid Leukemia	Leukemia	Myeloid	{}	MNM	3
RWDNET	SaddleBrown	Well-Differentiated Neuroendocrine Tumor of the Rectum	Gastrointestinal Neuroendocrine Tumor	Bowel	{}	GINET	3
CCOC	DarkRed	Clear Cell Odontogenic Carcinoma	Head and Neck Cancer	Head and Neck	{}	ODGC	4
MBN	LimeGreen	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	Lymphoid	{}	NHL	4
HGBCLMYCBCL2	LimeGreen	High-Grade B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
LNET	Gainsboro	Lung Neuroendocrine Tumor	Non-Small Cell Lung Cancer	Lung	{}	LUNG	2
CLLSLL	LimeGreen	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
LPL	LimeGreen	Lymphoplasmacytic Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
LUACC	Gainsboro	Adenoid Cystic Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	SGTTL	4
MAAP	SaddleBrown	Mucinous Adenocarcinoma of the Appendix	Appendiceal Cancer	Bowel	{}	APAD	3
AMKL	LightSalmon	Acute Megakaryoblastic Leukemia	Leukemia	Myeloid	{}	AMLNOS	5
ABC	LimeGreen	Activated B-cell Type	Mature B-Cell Neoplasms	Lymphoid	{}	DLBCLNOS	6
PMHE	LightYellow	Pseudomyogenic Hemangioendothelioma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
PRNET	Gray	Primary Neuroepithelial Tumor	Miscellaneous Brain Tumor	CNS/Brain	{}	MBT	3
STOMACH	LightSkyBlue	Esophagus/Stomach	Esophageal/Stomach Cancer	Esophagus/Stomach	{}	TISSUE	1
BA	HotPink	Breast Angiosarcoma	Breast Sarcoma	Breast	{}	PBS	3
SKIN	Black	Skin	Skin Cancer	Skin	{}	TISSUE	1
HGNET	Gray	High-Grade Neuroepithelial Tumor	Miscellaneous Brain Tumor	CNS/Brain	{}	MBT	3
CELNOS	LightSalmon	Chronic Eosinophilic Leukemia	Myeloproliferative Neoplasms	Myeloid	{}	MPN	4
ECAD	Teal	Endocervical Adenocarcinoma	Cervical Cancer	Cervix	{}	CEAD	3
SOC	LightBlue	Serous Ovarian Cancer	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
BLSC	Yellow	Bladder Squamous Cell Carcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
MBL	Gray	Medulloblastoma	Embryonal Tumor	CNS/Brain	{}	EMBT	3
CHBL	White	Chondroblastoma	Bone Cancer	Bone	{}	BONE	2
ES	White	Ewing Sarcoma	Bone Cancer	Bone	{}	BONE	2
UCP	Purple	Undifferentiated Carcinoma of the Pancreas	Pancreatic Cancer	Pancreas	{}	PANCREAS	2
GBC	Green	Gallbladder Cancer	Hepatobiliary Cancer	Biliary Tract	{}	BILIARY_TRACT	2
JXG	LightSalmon	Disseminated Juvenile Xanthogranuloma	Histiocytosis	Myeloid	{}	HDCN	4
DIA	Gray	Desmoplastic Infantile Astrocytoma	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
PBL	Gray	Pineoblastoma	Pineal Tumor	CNS/Brain	{}	PINT	3
OVARY	LightBlue	Ovary/Fallopian Tube	Ovarian/Fallopian Tube Cancer	Ovary/Fallopian Tube	{}	TISSUE	1
PTCA	Gray	Pituitary Carcinoma	Sellar Tumor	CNS/Brain	{}	SELT	3
SNA	DarkRed	Sinonasal Adenocarcinoma	Head and Neck Cancer	Head and Neck	{}	OHNCA	3
CML	LightSalmon	Chronic Myelogenous Leukemia	Myeloproliferative Neoplasms	Myeloid	{}	MPN	4
UDDC	PeachPuff	Uterine Dedifferentiated Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
TSCST	Red	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	Testis	{}	TESTIS	2
HDCS	LightYellow	Histiocytic Dendritic Cell Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	DCS	3
MASC	HotPink	Metaplastic Adenosquamous Carcinoma	Breast Cancer	Breast	{}	EMBC	4
AOAST	Gray	Anaplastic Oligoastrocytoma	Glioma	CNS/Brain	{}	DIFG	3
APAD	SaddleBrown	Appendiceal Adenocarcinoma	Appendiceal Cancer	Bowel	{}	BOWEL	2
LIVER	MediumSeaGreen	Liver	Liver Cancer	Liver	{}	TISSUE	1
MCCE	Teal	Mixed Cervical Carcinoma	Cervical Cancer	Cervix	{}	CERVIX	2
EMYOCA	DarkRed	Epithelial-Myoepithelial Carcinoma	Head and Neck Cancer	Head and Neck	{}	OHNCA	3
LUAS	Gainsboro	Lung Adenosquamous Carcinoma	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
CEMN	Teal	Mesonephric Carcinoma	Cervical Cancer	Cervix	{}	CEAD	3
HNMASC	DarkRed	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	Salivary Gland Cancer	Head and Neck	{}	SACA	3
BLCLC	Gainsboro	Basaloid Large Cell Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	LCLC	4
BIMT	Gray	Immature Teratoma	Germ Cell Tumor	CNS/Brain	{}	BGCT	3
MPTLD	LimeGreen	Monomorphic PTLD (B- and T-/NK-cell types)	Posttransplant Lymphoproliferative Disorders	Lymphoid	{}	PTLD	4
NHL	LimeGreen	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	Lymphoid	{}	LNM	3
MNGLP	LightSalmon	Myeloid Neoplasms with Germ Line Predisposition	Myeloid Neoplasms with Germ Line Predisposition	Myeloid	{}	MNM	3
SMZL	LimeGreen	Splenic Marginal Zone Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MZL	6
CDRCC	Orange	Collecting Duct Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
LGCOS	White	Low-Grade Central Osteosarcoma	Bone Cancer	Bone	{}	OS	3
CHM	PeachPuff	Complete Hydatidiform Mole	Gestational Trophoblastic Disease	Uterus	{}	MP	4
RCSNOS	LightYellow	Round Cell Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
ISTAD	LightSkyBlue	Intestinal Type Stomach Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	STAD	4
GHCD	LimeGreen	Gamma Heavy-Chain Disease	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
SCEMU	Teal	Signet Ring Mucinous Carcinoma	Cervical Cancer	Cervix	{}	CEMU	4
MCL	LimeGreen	Mantle Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
MBT	Gray	Miscellaneous Brain Tumor	Miscellaneous Brain Tumor	CNS/Brain	{}	BRAIN	2
PCLBCLLT	LimeGreen	Primary Cutaneous DLBCL	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
CMML0	LightSalmon	Chronic Myelomonocytic Leukemia-0	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	CMML	5
AMLGATA2MECOM	LightSalmon	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2	Leukemia	Myeloid	{}	AMLRGA	5
UTUC	Yellow	Upper Tract Urothelial Carcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
GBAD	Green	Gallbladder Adenocarcinoma	Hepatobiliary Cancer	Biliary Tract	{}	GBC	3
STSC	LightSkyBlue	Small Cell Carcinoma of the Stomach	Esophagogastric Cancer	Esophagus/Stomach	{}	EGC	3
SCB	Yellow	Sarcomatoid Carcinoma of the Urinary Bladder	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
UMEC	PeachPuff	Uterine Mixed Endometrial Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
SCCRCC	Orange	Renal Clear Cell Carcinoma with Sarcomatoid Features	Renal Cell Carcinoma	Kidney	{}	CCRCC	4
CMLBCRABL1	LightSalmon	Chronic Myeloid Leukemia	Myeloproliferative Neoplasms	Myeloid	{}	CML	5
EPIS	LightYellow	Epithelioid Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
SCOAH	Gray	Spindle Cell Oncocytoma of the Adenohypophysis	Sellar Tumor	CNS/Brain	{}	SELT	3
MCHSCNS	Gray	Mesenchymal Chondrosarcoma of the CNS	Miscellaneous Brain Tumor	CNS/Brain	{}	MBT	3
AMLNOS	LightSalmon	AML	Leukemia	Myeloid	{}	AML	4
BTOV	LightBlue	Brenner Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
ETANTR	Gray	Embryonal Tumor with Abundant Neuropil and True Rosettes	Embryonal Tumor	CNS/Brain	{}	EMBT	3
BPT	HotPink	Benign Phyllodes Tumor of the Breast	Breast Sarcoma	Breast	{}	PT	4
SAAD	DarkRed	Salivary Adenocarcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
MDSSLD	LightSalmon	MDS with Single Lineage Dysplasia	Myelodysplastic Syndromes	Myeloid	{}	MDS	4
FDCS	LightYellow	Follicular Dendritic Cell Sarcoma	Soft Tissue Sarcoma	Myeloid	{}	HDCN	4
RGNT	Gray	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
WPSCC	Blue	Warty Penile Squamous Cell Carcinoma	Penile Cancer	Penis	{}	PSCC	3
ACA	Purple	Adrenocortical Adenoma	Adrenocortical Adenoma	Adrenal Gland	{}	ADRENAL_GLAND	2
ECD	LightSalmon	Erdheim-Chester Disease	Histiocytosis	Myeloid	{}	HDCN	4
PAC	DarkRed	Polymorphous Adenocarcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
SEBVTLC	LimeGreen	Systemic EBV Positive T-Cell Lymphoma of Childhood	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
UAS	PeachPuff	Uterine Adenosarcoma	Uterine Sarcoma	Uterus	{}	USARC	3
LGFMS	LightYellow	Low-Grade Fibromyxoid Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
PB	Purple	Pancreatoblastoma	Pancreatic Cancer	Pancreas	{}	PANCREAS	2
SEM	Red	Seminoma	Germ Cell Tumor	Testis	{}	TESTIS	2
HSTCL	LimeGreen	Hepatosplenic T-cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
DIFG	Gray	Diffuse Glioma	Glioma	CNS/Brain	{}	BRAIN	2
STAD	LightSkyBlue	Stomach Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	EGC	3
PCALCL	LimeGreen	Primary Cutaneous Anaplastic Large Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	PCLPD	6
DTE	Black	Desmoplastic Trichoepithelioma	Skin Cancer	Skin	{}	SKIN	2
TESTIS	Red	Testis	Testicular Cancer	Testis	{}	TISSUE	1
CAEXPA	DarkRed	Carcinoma ex Pleomorphic Adenoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
POCA	Black	Porocarcinoma/Spiroadenocarcinoma	Skin Cancer	Skin	{}	SKIN	2
UESL	MediumSeaGreen	Undifferentiated Embryonal Sarcoma of the Liver	Undifferentiated Embryonal Sarcoma of the Liver	Liver	{}	LIVER	2
LCIS	HotPink	Breast Lobular Carcinoma In Situ	Breast Cancer	Breast	{}	BREAST	2
ANSC	SaddleBrown	Anal Squamous Cell Carcinoma	Anal Cancer	Bowel	{}	BOWEL	2
UTERUS	PeachPuff	Uterus	Uterine Cancer	Uterus	{}	TISSUE	1
SCLG	Green	Squamous Cell Carcinoma of the Lacrimal Gland	Lacrimal Gland Tumor	Eye	{}	LGT	3
OS	White	Osteosarcoma	Bone Cancer	Bone	{}	BONE	2
PMF	LightSalmon	Primary Myelofibrosis	Myeloproliferative Neoplasms	Myeloid	{}	MPN	4
MPALTNOS	LightSalmon	Mixed Phenotype Acute Leukemia	Leukemia	Myeloid	{}	ALAL	4
SARCL	Gainsboro	Sarcomatoid Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	LUNG	2
ODG	Gray	Oligodendroglioma	Glioma	CNS/Brain	{}	DIFG	3
EP	LimeGreen	Extraosseous Plasmacytoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
ESS	PeachPuff	Endometrial Stromal Sarcoma	Uterine Sarcoma	Uterus	{}	USARC	3
NFIB	Gray	Neurofibroma	Nerve Sheath Tumor	Peripheral Nervous System	{}	NST	3
MRLS	LightYellow	Myxoid/Round-Cell Liposarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	LIPO	3
GCTB	White	Giant Cell Tumor of Bone	Bone Cancer	Bone	{}	BONE	2
GS	LightYellow	Glomangiosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
GIST	LightYellow	Gastrointestinal Stromal Tumor	Gastrointestinal Stromal Tumor	Soft Tissue	{}	SOFT_TISSUE	2
MZL	LimeGreen	Marginal Zone Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
MIXED	Black	Mixed Cancer Types	Cancer of Unknown Primary	Other	{}	OTHER	2
BRAIN	Gray	CNS/Brain	CNS/Brain Cancer	CNS/Brain	{}	TISSUE	1
PCM	LimeGreen	Plasma Cell Myeloma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
SPIR	Black	Spiroma/Spiradenoma	Skin Cancer	Skin	{}	SKIN	2
UCA	Yellow	Urethral Cancer	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
THYROID	Teal	Thyroid	Thyroid Cancer	Thyroid	{}	TISSUE	1
MPT	HotPink	Malignant Phyllodes Tumor of the Breast	Breast Sarcoma	Breast	{}	PT	4
MLNPDGFRB	LightSalmon	Myeloid/Lymphoid Neoplasms with PDGFRB Rearrangement	Leukemia	Myeloid	{}	MLNER	4
PSTT	PeachPuff	Placental Site Trophoblastic Tumor	Gestational Trophoblastic Disease	Uterus	{}	GTD	3
BRCNOS	HotPink	Breast Invasive Carcinoma	Breast Cancer	Breast	{}	BRCA	3
PPB	Gainsboro	Pleuropulmonary Blastoma	Non-Small Cell Lung Cancer	Lung	{}	LUNG	2
OSMCA	LightBlue	Ovarian Seromucinous Carcinoma	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
BFN	HotPink	Breast Fibroepithelial Neoplasms	Breast Sarcoma	Breast	{}	BREAST	2
LCS	LightSalmon	Langerhans Cell Sarcoma	Histiocytosis	Myeloid	{}	HDCN	4
SCOS	White	Small Cell Osteosarcoma	Bone Cancer	Bone	{}	OS	3
SMAHN	LightSalmon	Systemic Mastocytosis with an Associated Hematological Neoplasm	Mastocytosis	Myeloid	{}	SM	5
ANKL	LimeGreen	Aggressive NK-Cell Leukemia	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
AA	LightYellow	Aggressive Angiomyxoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
GBASC	Green	Adenosquamous Carcinoma of the Gallbladder	Hepatobiliary Cancer	Biliary Tract	{}	GBC	3
LRCHL	LimeGreen	Lymphocyte-Rich Classical Hodgkin Lymphoma	Hodgkin Lymphoma	Lymphoid	{}	CHL	5
ATRT	Gray	Atypical Teratoid/Rhabdoid Tumor	Embryonal Tumor	CNS/Brain	{}	EMBT	3
CLPDNK	LimeGreen	Chronic Lymphoproliferative Disorder of NK Cells	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
PRNE	Cyan	Prostate Neuroendocrine Carcinoma	Prostate Cancer	Prostate	{}	PROSTATE	2
GB	Gray	Glioblastoma	Glioma	CNS/Brain	{}	DIFG	3
LM	LightYellow	Leiomyoma	Soft Tissue Cancer	Soft Tissue	{}	SOFT_TISSUE	2
FT	LightBlue	Fibrothecoma	Sex Cord Stromal Tumor	Ovary/Fallopian Tube	{}	SCST	3
GNG	Gray	Ganglioglioma	Glioma	CNS/Brain	{}	ENCG	3
DFL	LimeGreen	Duodenal-Type Follicular Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	FL	6
AMLMD	LightSalmon	AML with Minimal Differentiation	Leukemia	Myeloid	{}	AMLNOS	5
MPALBNOS	LightSalmon	Mixed Phenotype Acute Leukemia	Leukemia	Myeloid	{}	ALAL	4
SARCNOS	LightYellow	Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
FA	HotPink	Fibroadenoma	Breast Sarcoma	Breast	{}	BFN	3
MHCD	LimeGreen	Mu Heavy-Chain Disease	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
BLAD	Yellow	Bladder Adenocarcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
EOV	LightBlue	Endometrioid Ovarian Cancer	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
STMYEC	LightYellow	Soft Tissue Myoepithelial Carcinoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
AGNG	Gray	Anaplastic Ganglioglioma	Glioma	CNS/Brain	{}	ENCG	3
RCYC	LightSalmon	Refractory Cytopenia of Childhood	Myelodysplastic Syndromes	Myeloid	{}	MDS	4
LYP	LimeGreen	Lymphomatoid Papulosis	Mature T and NK Neoplasms	Lymphoid	{}	PCLPD	6
MSCC	HotPink	Metaplastic Squamous Cell Carcinoma	Breast Cancer	Breast	{}	EMBC	4
SOFT_TISSUE	LightYellow	Soft Tissue	Soft Tissue Cancer	Soft Tissue	{}	TISSUE	1
PTHC	DarkRed	Parathyroid Carcinoma	Parathyroid Cancer	Head and Neck	{}	PTH	3
CEAS	Teal	Cervical Adenosquamous Carcinoma	Cervical Cancer	Cervix	{}	CERVIX	2
THYMUS	Purple	Thymus	Thymic Cancer	Thymus	{}	TISSUE	1
UCEC	PeachPuff	Endometrial Carcinoma	Endometrial Cancer	Uterus	{}	UTERUS	2
BLLBCRABL1L	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
CSCLC	Gainsboro	Combined Small Cell Lung Carcinoma	Small Cell Lung Cancer	Lung	{}	LUNG	2
PAMPCA	Purple	Pancreatobiliary Ampullary Carcinoma	Ampullary Cancer	Ampulla of Vater	{}	AMPCA	3
MLNPCM1JAK2	LightSalmon	Myeloid/Lymphoid Neoplasms with PCM1-JAK2	Leukemia	Myeloid	{}	MLNER	4
JMML	LightSalmon	Juvenile Myelomonocytic Leukemia	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	MDS/MPN	4
MLNER	LightSalmon	Myeloid/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2	Leukemia	Myeloid	{}	MNM	3
PCGDTCL	LimeGreen	Primary Cutaneous Gamma Delta T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
ET	LightSalmon	Essential Thrombocythemia	Myeloproliferative Neoplasms	Myeloid	{}	MPN	4
PHM	PeachPuff	Partial Hydatidiform Mole	Gestational Trophoblastic Disease	Uterus	{}	MP	4
CPC	Gray	Choroid Plexus Carcinoma	Choroid Plexus Tumor	CNS/Brain	{}	CPT	3
SKCM	Black	Cutaneous Melanoma	Melanoma	Skin	{}	MEL	3
ACC	Purple	Adrenocortical Carcinoma	Adrenocortical Carcinoma	Adrenal Gland	{}	ADRENAL_GLAND	2
ADNOS	Black	Adenocarcinoma	Cancer of Unknown Primary	Other	{}	CUP	3
GCCAP	SaddleBrown	Goblet Cell Adenocarcinoma of the Appendix	Appendiceal Cancer	Bowel	{}	APAD	3
TRCC	Orange	Translocation-Associated Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
SCCNOS	Black	Squamous Cell Carcinoma	Cancer of Unknown Primary	Other	{}	CUP	3
SCSRMS	LightYellow	Spindle Cell/Sclerosing Rhabdomyosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	RMS	3
CACC	Teal	Cervical Adenoid Cystic Carcinoma	Cervical Cancer	Cervix	{}	CERVIX	2
IHM	PeachPuff	Invasive Hydatidiform Mole	Gestational Trophoblastic Disease	Uterus	{}	MP	4
HGBCL	LimeGreen	High-Grade B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
PLEURA	Blue	Pleura	Pleural Cancer	Pleura	{}	TISSUE	1
VOEC	Purple	Embryonal Carcinoma	Germ Cell Tumor	Vulva/Vagina	{}	VGCT	3
MDSU	LightSalmon	MDS	Myelodysplastic Syndromes	Myeloid	{}	MDS	4
PPTID	Gray	Pineal Parenchymal Tumor of Intermediate Differentiation	Pineal Tumor	CNS/Brain	{}	PINT	3
CCOV	LightBlue	Clear Cell Ovarian Cancer	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
CUP	Black	Cancer of Unknown Primary	Cancer of Unknown Primary	Other	{}	OTHER	2
GNOS	Gray	Glioma	Glioma	CNS/Brain	{}	DIFG	3
RAML	Orange	Renal Angiomyolipoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
HVLL	LimeGreen	Hydroa Vacciniforme Like Lymphoproliferative Disorder	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
OTHER	Black	Other	Other Cancer	Other	{}	TISSUE	1
OCSC	DarkRed	Oral Cavity Squamous Cell Carcinoma	Head and Neck Cancer	Head and Neck	{}	HNSC	3
SDRPL	LimeGreen	Splenic Diffuse Red Pulp Small B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	SBLU	6
ANGS	LightYellow	Angiosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
GEJ	LightSkyBlue	Adenocarcinoma of the Gastroesophageal Junction	Esophagogastric Cancer	Esophagus/Stomach	{}	EGC	3
CPP	Gray	Choroid Plexus Papilloma	Choroid Plexus Tumor	CNS/Brain	{}	CPT	3
IVBCL	LimeGreen	Intravascular Large B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
NLPHL	LimeGreen	Nodular Lymphocyte-Predominant Hodgkin Lymphoma	Hodgkin Lymphoma	Lymphoid	{}	HL	4
THYC	Purple	Thymic Carcinoma	Thymic Tumor	Thymus	{}	TET	3
ILC	HotPink	Breast Invasive Lobular Carcinoma	Breast Cancer	Breast	{}	BRCA	3
PCNSL	LimeGreen	Primary DLBCL of the central nervous system	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
HL	LimeGreen	Hodgkin Lymphoma	Hodgkin Lymphoma	Lymphoid	{}	LNM	3
LAMN	SaddleBrown	Low-grade Appendiceal Mucinous Neoplasm	Appendiceal Cancer	Bowel	{}	BOWEL	2
PBT	Gray	Primary Brain Tumor	Miscellaneous Brain Tumor	CNS/Brain	{}	MBT	3
ULM	PeachPuff	Uterine Leiomyoma	Uterine Sarcoma	Uterus	{}	USMT	4
ALCL	LimeGreen	Anaplastic Large Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
AMPCA	Purple	Ampullary Carcinoma	Ampullary Cancer	Ampulla of Vater	{}	AMPULLA_OF_VATER	2
RNET	Orange	Renal Neuroendocrine Tumor	Renal Neuroendocrine Tumor	Kidney	{}	KIDNEY	2
ALAL	LightSalmon	Acute Leukemias of Ambiguous Lineage	Leukemia	Myeloid	{}	MNM	3
DNT	Gray	Dysembryoplastic Neuroepithelial Tumor	Glioma	CNS/Brain	{}	ENCG	3
GRCT	LightBlue	Granulosa Cell Tumor	Sex Cord Stromal Tumor	Ovary/Fallopian Tube	{}	SCST	3
